trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
23,0,23,0,46.12516779999714,,46.112401300051715,46.12516779999714,47.12520730000688,47.12520730000688,47.87634660000913,down,1,0.7400966999703087,None,4,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
24,0,24,0,47.89144450001186,,47.878545800049324,47.89144450001186,48.8914757000166,48.8914757000166,49.65944800002035,down,0,0.75968020001892,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
25,0,25,0,49.67453580000438,,49.662903300020844,49.67453580000438,50.67450920003466,50.67450920003466,51.77533480001148,up,1,1.0874207000015303,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
26,0,26,0,51.790798000001814,,51.77678960002959,51.790798000001814,52.791099500027485,52.791099500027485,53.759402800002135,down,1,0.9578368999646045,None,-2,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
27,0,27,0,53.77412360004382,,53.76241280004615,53.77412360004382,54.77459690003889,54.77459690003889,55.52500940003665,up,1,0.7419188000494614,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
28,0,28,0,55.540670400019735,,55.52692690002732,55.540670400019735,56.54049730004044,56.54049730004044,58.69274090003455,up,1,2.147495799988974,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
29,0,29,0,58.70675890002167,,58.69442800001707,58.70675890002167,59.70668130001286,59.70668130001286,60.474585800024215,down,1,0.7597320000058971,None,3,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
30,0,30,0,60.489826200006064,,60.476673000026494,60.489826200006064,61.48944230005145,61.48944230005145,62.59100470005069,down,1,1.0910987999523059,None,-4,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
31,0,31,0,62.60615270002745,,62.593382300052326,62.60615270002745,63.60603010002524,63.60603010002524,64.47447539999848,up,1,0.8598331999965012,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
32,0,32,0,64.48942900000839,,64.47647150000557,64.48942900000839,65.4895652999985,65.4895652999985,66.27350870001828,down,1,0.7690087000373751,None,2,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
33,0,33,0,66.28878910001367,,66.27599500003271,66.28878910001367,67.2887756000273,67.2887756000273,68.07446910004364,up,1,0.7820451000006869,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
34,0,34,0,68.08883820002666,,68.07691850000992,68.08883820002666,69.08880270004738,69.08880270004738,69.75701500003925,down,1,0.6554659000248648,None,-2,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
35,0,35,0,69.77214990003267,,69.75833740003873,69.77214990003267,70.77209620003123,70.77209620003123,71.43955730000744,down,1,0.6601181000005454,None,-4,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
36,0,36,0,71.45505650003906,,71.44168730004458,71.45505650003906,72.45509890001267,72.45509890001267,73.50669580005342,up,1,1.0468499999842606,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
37,0,37,0,73.52153460000409,,73.50862390000839,73.52153460000409,74.52193740004441,74.52193740004441,75.45605110004544,down,1,0.9275438999757171,None,-3,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
38,0,38,0,75.4716643000138,,75.45775960001629,75.4716643000138,76.47125560004497,76.47125560004497,77.25593380001374,up,1,0.7777322999900207,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
39,0,39,0,77.27131189999636,,77.26144200004637,77.27131189999636,78.27128110005287,78.27128110005287,78.90594010002678,up,1,0.6282754999701865,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
40,0,40,0,78.92086090001976,,78.90837090002606,78.92086090001976,79.92092010000488,79.92092010000488,80.57143750000978,up,1,0.6364545000251383,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
41,0,41,0,80.58764959999826,,80.57339570001932,80.58764959999826,81.58724350004923,81.58724350004923,82.70498660003068,up,1,1.105623600014951,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
42,0,42,0,82.72025350003969,,82.70794069999829,82.72025350003969,83.72013870003866,83.72013870003866,84.3879084000364,up,1,0.6551414999994449,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
43,0,43,0,84.40341910003917,,84.38919730001362,84.40341910003917,85.40357680001762,85.40357680001762,86.25483900000108,down,1,0.8381521999835968,None,-4,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
44,0,44,0,86.26989769999636,,86.256558699999,86.26989769999636,87.27035010000691,87.27035010000691,88.82222309999634,down,1,1.54764249996515,None,1,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
45,0,45,0,88.836150200048,,88.82384440000169,88.836150200048,89.83641230000649,89.83641230000649,90.55446260003373,up,0,0.7135081000160426,None,-2,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
46,0,46,0,90.56912940001348,,90.55664490000345,90.56912940001348,91.5692062000162,91.5692062000162,92.33750610001152,down,1,0.7632680999813601,None,4,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
47,0,47,0,92.35255520005012,,92.33976450003684,92.35255520005012,93.35216890001902,93.35216890001902,94.48668740002904,up,1,1.124478599987924,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
48,0,48,0,94.50228050001897,,94.48895090003498,94.50228050001897,95.50250340002822,95.50250340002822,96.35509200004162,up,1,0.8505188000272028,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
