stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
10,1,2,28.221764600020833,,28.205722099984996,28.221764600020833,28.70618049998302,28.70618049998302,28.72235110006295,29.006164200021885,29.608859400032088,1,0.9005569000728428,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
11,1,1,29.62236739997752,,29.6089833,29.62236739997752,30.122607900062576,30.122607900062576,30.122607900062576,30.422704700031318,30.724509099964052,1,0.5980111999670044,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
12,1,1,30.738693400053307,,30.724628400057554,30.738693400053307,31.238882399979047,31.238882399979047,31.238882399979047,31.53829609998502,32.14005469996482,1,0.8894009999930859,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
13,1,1,32.15476599999238,,32.14018330001272,32.15476599999238,32.639112500008196,32.639112500008196,32.6556526,32.938752299989574,33.32388949999586,1,0.6800791999557987,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
14,1,1,33.338079800014384,,33.32400380005129,33.338079800014384,33.83950660005212,33.83950660005212,33.83950660005212,34.138888200046495,34.50677730003372,1,0.6637623999267817,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
15,0.5,1,34.521629499970004,,34.506898000021465,34.521629499970004,35.022129200049676,35.022129200049676,35.022129200049676,35.320957500021905,35.77180970006157,0,0.7374517999123782,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
16,0.5,1.5,35.78741370001808,,35.771894600009546,35.78741370001808,36.271943200030364,36.271943200030364,36.28884990001097,36.57746120006777,38.80560940003488,1,2.521544100018218,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
17,0.5,1.5,38.82066129997838,,38.805697300005704,38.82066129997838,39.305191899999045,39.305191899999045,39.320611700066365,39.60427440004423,39.988569600041956,1,0.6758636999875307,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
18,0.5,1.5,40.003782400046475,,39.98863779997919,40.003782400046475,40.504196600057185,40.504196600057185,40.504196600057185,40.804600700037554,43.22260750003625,1,2.7133806999772787,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
19,0.5,1,43.23642980004661,,43.222714200033806,43.23642980004661,43.73719879996497,43.73719879996497,43.73719879996497,44.03810380003415,44.955720599973574,0,1.201788300066255,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
20,0.5,1.5,44.97094580007251,,44.955831600003876,44.97094580007251,45.47052710002754,45.47052710002754,45.47052710002754,45.77103890001308,46.12129270005971,1,0.6434627,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
21,0.5,1.5,46.13644240004942,,46.12137479998637,46.13644240004942,46.636823900043964,46.636823900043964,46.636823900043964,46.9368581,47.28700510005001,1,0.6342273000627756,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
22,0.5,1.5,47.30278620007448,,47.287080400041305,47.30278620007448,47.7874703,47.7874703,47.80372179998085,48.087153700063936,48.422023899969645,1,0.6324343999149278,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
23,0.5,1,48.43632290000096,,48.42214929999318,48.43632290000096,48.93566269997973,48.93566269997973,48.93566269997973,49.23611339996569,49.83755140006542,0,0.8961465,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
24,0.5,1.5,49.852737799985334,,49.83766550000291,49.852737799985334,50.353622999973595,50.353622999973595,50.353622999973595,50.65356510004494,50.77119780005887,1,0.4034189000958577,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
25,0.5,1.5,50.78637310001068,,50.77128770004492,50.78637310001068,51.28582620003726,51.28582620003726,51.28582620003726,51.586352000012994,51.63692840002477,1,0.3415289999684319,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
26,0.5,1.5,51.652206400060095,,51.6370238,51.652206400060095,52.13669700000901,52.13669700000901,52.1533999,52.43652170000132,52.47143150004558,1,0.3289375000167638,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
27,0.5,1,52.48630490002688,,52.47153119998984,52.48630490002688,52.98634309996851,52.98634309996851,52.98634309996851,53.286265400005504,53.3369768,0,0.3472691000206396,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
28,0.5,1.5,53.352317700046115,,53.33705440000631,53.352317700046115,53.85265170002822,53.85265170002822,53.85265170002822,54.15358489996288,54.154888099990785,0,0.29819170001428574,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
29,0.5,2,54.16870470007416,,54.15498650004156,54.16870470007416,54.66823349997867,54.66823349997867,54.66823349997867,,54.838357000029646,0,0.1630430999211967,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
30,0.5,2.5,54.85269550001249,,54.8384875,54.85269550001249,55.35237670002971,55.35237670002971,55.35237670002971,,55.586171800037846,0,0.2248927999753505,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
31,0.5,3,55.60192549997009,,55.58627319999505,55.60192549997009,56.0854767,56.0854767,56.10235760000069,,56.15300320007373,0,0.0574552,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
32,0.5,3.5,56.16857360000722,,56.153085300000384,56.16857360000722,56.6518553,56.6518553,56.66879250004422,56.9525615,57.4523672,0,0.7914078000467271,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
33,0.5,4,57.4684848,,57.45242850005161,57.4684848,57.95143290003762,57.95143290003762,57.96794790006243,58.253171600052156,58.48634820000734,0,0.5294503000332043,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
34,0.5,4.5,58.5015552,,58.48646709998138,58.5015552,58.98557060002349,58.98557060002349,59.001899200025946,59.285810700035654,60.12070029997267,1,1.1287878999719396,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
35,0.5,4.5,60.13512360001914,,60.120820000069216,60.13512360001914,60.63573310000356,60.63573310000356,60.63573310000356,60.93508159997873,61.636618399992585,1,0.9952884999802336,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
36,0.5,4.5,61.65068560000509,,61.636720700073056,61.65068560000509,62.15131380001549,62.15131380001549,62.15131380001549,62.452025300008245,62.85307199996896,1,0.6910433999728411,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
37,0.5,4,62.86908640002366,,62.85316890000831,62.86908640002366,63.36825439997483,63.36825439997483,63.36825439997483,63.667870500008576,64.06998130003922,1,0.6948342999676242,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
38,0.5,4,64.08508330001496,,64.07010380004067,64.08508330001496,64.58516750007402,64.58516750007402,64.58516750007402,64.90038670005742,65.17059330001939,1,0.5835297000594437,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
39,0.5,4,65.18450730002951,,65.17071790003683,65.18450730002951,65.68409890006296,65.68409890006296,65.68409890006296,65.98439500003587,66.30219600000419,1,0.6015195999061689,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
40,0.5,3.5,66.31787250004709,,66.30229110002983,66.31787250004709,66.81798100005835,66.81798100005835,66.81798100005835,67.1188793,67.8351225,1,1.0108262000139803,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
41,0.5,3.5,67.85023179999553,,67.83521300007124,67.85023179999553,68.35009510000236,68.35009510000236,68.35009510000236,68.65002459997777,69.13476519996766,1,0.7778514999663457,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
42,0.5,3.5,69.14991979999468,,69.13488040002994,69.14991979999468,69.65079790004529,69.65079790004529,69.65079790004529,69.95028630003799,70.38478800002486,1,0.7295741999987513,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
43,0.5,3,70.40002549998462,,70.38484379998408,70.40002549998462,70.90048800001387,70.90048800001387,70.90048800001387,71.2001763,71.50017500005197,1,0.5862326000351459,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
44,0.5,3,71.51666419999674,,71.50025400007144,71.51666419999674,72.00016419996973,72.00016419996973,72.01704379997682,72.30063840001822,72.66876619996037,1,0.6668996000662446,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
45,0.5,3,72.68367569998372,,72.66889560001437,72.68367569998372,73.1828308,73.1828308,73.1995409,73.48283730004914,73.98337729997002,1,0.7872932000318542,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
46,0.5,2.5,73.9995449,,73.98344560002442,73.9995449,74.48311460006516,74.48311460006516,74.49948210001457,74.78333999996539,75.13535940006841,1,0.6507398000685498,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
47,0.5,2.5,75.14940940006636,,75.13550009997562,75.14940940006636,75.65018090000376,75.65018090000376,75.65018090000376,75.950226,76.18613090005238,1,0.5315637000603601,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
48,0.5,2.5,76.19930450001266,,76.1862206,76.19930450001266,76.69987780007068,76.69987780007068,76.69987780007068,76.99914940004237,77.1859505,1,0.47931579989381135,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
49,0.5,2,77.2000736,,77.18607850000262,77.2000736,77.70019610004965,77.70019610004965,77.70019610004965,78.0159779,78.167924,0,0.46432130003813654,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
