8.0014 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=282, pos=array([ 0.31585728, -0.30423779]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
8.0015 	EXP 	window1: mouseVisible = False
8.0030 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=78, pos=array([-0.34546257, -0.24994739]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
8.0092 	EXP 	fixation: autoDraw = False
8.0092 	EXP 	target: autoDraw = False
8.0092 	EXP 	distr: autoDraw = False
8.0092 	EXP 	distr: autoDraw = False
8.0092 	EXP 	distr: autoDraw = False
8.0092 	EXP 	distr: autoDraw = False
8.0092 	EXP 	distr: autoDraw = False
8.0092 	EXP 	distr: autoDraw = True
8.0092 	EXP 	distr: autoDraw = True
8.0092 	EXP 	distr: autoDraw = True
8.0092 	EXP 	distr: autoDraw = True
8.0092 	EXP 	distr: autoDraw = True
8.0092 	EXP 	fixation: autoDraw = True
8.0092 	EXP 	target: autoDraw = True
8.0909 	DATA 	Mouse:  Left button up, pos=(189,595)
9.4075 	DATA 	Mouse: Left button down, pos=(521,283)
9.4091 	EXP 	New trial (rep=3, index=0): <Trial 3 (0 in rep 3) data={'thisN': 3, 'thisTrialN': 0, 'thisRepN': 3}>
9.4095 	EXP 	window1: mouseVisible = False
9.4121 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=187, pos=array([-0.35757686, -0.08981735]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
9.4122 	EXP 	window1: mouseVisible = False
9.4140 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=92, pos=array([-0.12246097,  0.20561245]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
9.4141 	EXP 	window1: mouseVisible = False
9.4158 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=317, pos=array([ 0.01258324, -0.43146338]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
9.4159 	EXP 	window1: mouseVisible = False
