thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
58,0,58,[-0.078],[0.21],[1],[0],[0],[1.848291500005871],['target'],58,0,58,0,122.8811880000867,,10,122.86834700009786,122.8811880000867,122.8811880000867,0.017913700081408024,124.71733119990677,[-0.078],[0.21],[1],[0],[0],[1.848291500005871],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
59,0,59,[0.178],[0.298],[1],[0],[0],[1.8034204000141472],['target'],59,0,59,0,124.74754779995419,,5,124.72852450003847,124.74754779995419,124.74754779995419,0.01100110006518662,126.53246679995209,[0.178],[0.298],[1],[0],[0],[1.8034204000141472],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
60,0,60,[-0.28],[-0.076],[1],[0],[0],[3.9308321001008153],['target'],60,0,60,0,126.56385820009746,,10,126.55098560010083,126.56385820009746,126.56385820009746,0.018380700144916773,130.48237910005264,[-0.28],[-0.076],[1],[0],[0],[3.9308321001008153],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
61,0,61,[-0.114],[0.46],[1],[0],[0],[3.7793357998598367],['target'],61,0,61,0,130.51339279999956,,10,130.50218409998342,130.51339279999956,130.51339279999956,0.019687799969688058,134.28194050001912,[-0.114],[0.46],[1],[0],[0],[3.7793357998598367],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
62,0,62,[0.144],[-0.456],[1],[0],[0],[2.0900888999458402],['target'],62,0,62,0,134.31347989989445,,5,134.29129719990306,134.31347989989445,134.31347989989445,0.009252400137484074,136.38184339995496,[0.144],[-0.456],[1],[0],[0],[2.0900888999458402],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
63,0,63,[-0.234],[0.138],[1],[0],[0],[1.9825995999854058],['target'],63,0,63,0,136.4120743998792,,10,136.3993891000282,136.4120743998792,136.4120743998792,0.01744020008482039,138.3826957999263,[-0.234],[0.138],[1],[0],[0],[1.9825995999854058],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
64,0,64,[0.27],[-0.462],[1],[0],[0],[2.372021700022742],['target'],64,0,64,0,138.41214639996178,,5,138.39301529992372,138.41214639996178,138.41214639996178,0.010126899927854538,140.76568869990297,[0.27],[-0.462],[1],[0],[0],[2.372021700022742],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
65,0,65,[0.33],[-0.088],[1],[0],[0],[1.6548849001992494],['target'],65,0,65,0,140.79484810004942,,5,140.77628079988062,140.79484810004942,140.79484810004942,0.010424100095406175,142.4317646001,[0.33],[-0.088],[1],[0],[0],[1.6548849001992494],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
66,0,66,[0.05],[-0.454],[1],[0],[0],[2.1404184999410063],['target'],66,0,66,0,142.46208170009777,,5,142.44011349999346,142.46208170009777,142.46208170009777,0.008268000092357397,144.58123559993692,[0.05],[-0.454],[1],[0],[0],[2.1404184999410063],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
67,0,67,[-0.386],[-0.308],[1],[0],[0],[2.0210484000854194],['target'],67,0,67,0,144.61159610003233,,5,144.5920969999861,144.61159610003233,144.61159610003233,0.01067469990812242,146.61347489990294,[-0.386],[-0.308],[1],[0],[0],[2.0210484000854194],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
